"word_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"вечер";"0.128248";"0.12759407096230102";"0.12890478527169286";"506.87894610900656";"504.29440006182506";"509.4747809472543";"197414.58311200002";"196407.97771961827";"198425.585159637"
"например";"0.077929";"0.07740522266766785";"0.07845602017578164";"308.0014455689662";"305.9313025475677";"310.084405391173";"119957.590351";"119151.3299515718";"120768.84252096403"
"характер";"0.051432";"0.05100080124940681";"0.051866645175010995";"203.27644841462185";"201.57220688053013";"204.99431136952907";"79170.25480800001";"78506.50237843565";"79839.31238415276"
"офицер";"0.049299";"0.048876405172284344";"0.049725057640336114";"194.84611973853717";"193.1758837823926";"196.53004188714968";"75886.88738100001";"75236.37913339557";"76542.72600186455"
"ветер";"0.047953";"0.04753594681459428";"0.04837352633957364";"189.52627801420053";"187.8779444800335";"191.18833861408643";"73814.964007";"73172.98611469446";"74462.28819150616"
"пример";"0.044341";"0.04393927832090792";"0.0447462225848718";"175.25044717593616";"173.66270887727";"176.85202222396333";"68254.94377900001";"67636.56596566165";"68878.71060312228"
"номер";"0.033843";"0.033490370097095414";"0.034199211466608044";"133.7588435934058";"132.36513239673377";"135.16671032650285";"52095.172917";"51552.36300749082";"52643.49599556763"
"размер";"0.029501";"0.029171159294623997";"0.029834455629405707";"116.59780884818322";"115.29416817445077";"117.91573690949632";"45411.449819";"44903.71975424132";"45924.74440500117"
"мастер";"0.021412";"0.02113011659974207";"0.021697560473453687";"84.62737815861495";"83.51328077816173";"85.75600856091823";"32959.898428";"32525.989954198365";"33399.46709043626"
"актер";"0.020637";"0.020360190999147716";"0.02091749202850516";"81.56431921629631";"80.47027755774808";"82.67291743069866";"31766.926203000003";"31340.828848617064";"32198.692911826536"
"инженер";"0.017212";"0.01695892973317409";"0.017468779609337702";"68.0275748583075";"67.02735660819646";"69.04245366938743";"26494.758628000003";"26105.20275793981";"26890.024359466108"
"север";"0.016822";"0.016571785739373842";"0.017075926599574433";"66.48616455185038";"65.49723419248704";"67.48976731510075";"25894.424218";"25509.264652547205";"26285.298257330316"
"режиссер";"0.014501";"0.014268552257645539";"0.014737177913941432";"57.312797061370965";"56.394085918350825";"58.24625108882447";"22321.664819";"21963.853592686675";"22685.21796931041"
"костер";"0.011149";"0.010945072591644041";"0.011356683333930395";"44.06457309407799";"43.25858384020885";"44.88540702074386";"17161.867531";"16847.958196696913";"17481.558432902402"
"лидер";"0.009812";"0.00962068027675773";"0.01000708592121564";"38.78030237681346";"38.024142906982284";"39.55134711939415";"15103.798028000001";"14809.295942938434";"15404.097493159741"
"ковер";"0.007759";"0.0075889050436170735";"0.007932876927905303";"30.66616043025842";"29.993888330655817";"31.353380144946463";"11943.576121";"11681.74572283559";"12211.228179786263"
"шофер";"0.007392";"0.007225991625341071";"0.007561793165904875";"29.21565380854108";"28.559533245316807";"29.88673313134046";"11378.646048";"11123.106202728393";"11640.011894347526"
"компьютер";"0.007385";"0.00721907056745319";"0.007554714277574948";"29.187987469707235";"28.532178912086124";"29.858754999468644";"11367.870815";"11112.452486821478";"11629.115227042392"
"партнер";"0.006935";"0.006774228164007293";"0.007099560138447563";"27.409437116102865";"26.7740131033152";"28.059833765936418";"10675.177265";"10427.698123191543";"10928.487812754965"
"мистер";"0.006565";"0.0064085982859548255";"0.006725192859273111";"25.947073492028164";"25.328921661318443";"26.580209195372806";"10105.629235";"9864.877104937697";"10352.217146943427"
"питер";"0.006382";"0.006227806156136017";"0.006539986395112117";"25.223796348229055";"24.61437075816705";"25.848211367987577";"9823.933858";"9586.58034445714";"10067.12531773759"
"революционер";"0.006373";"0.006218915566962133";"0.006530877053434536";"25.18822534115697";"24.57923217923602";"25.812208206072548";"9810.079987000001";"9572.894891620585";"10053.1031350158"
"милиционер";"0.00635";"0.006196195530560084";"0.006507597266549506";"25.097321656417186";"24.48943500417654";"25.72019871008098";"9774.675650000001";"9537.921507906218";"10017.268116747719"
"револьвер";"0.006006";"0.005856446115563092";"0.006159349324557145";"23.737718719439627";"23.14663179933258";"24.34380648703096";"9245.149914000001";"9014.938778162463";"9481.20344292798"
"кучер";"0.005488";"0.005345087668756131";"0.0056347117512464155";"21.690409645735045";"21.125572362916806";"22.270263505862218";"8447.782672000001";"8227.795005182019";"8673.618858216882"
"кавалер";"0.005342";"0.005201016639153467";"0.00548678390259197";"21.113368864343407";"20.556155517041333";"21.685603222457114";"8223.042098";"8006.023731965077";"8445.91071015397"
"гитлер";"0.005106";"0.0049681922162607434";"0.00524761013871293";"20.180618012230894";"19.635955606677804";"20.740308595079437";"7859.762814000001";"7647.632674142272";"8077.745991113449"
"катер";"0.004571";"0.004440679020892971";"0.00470512744457691";"18.066119258501253";"17.551047206339312";"18.59623573401306";"7036.227149";"6835.621589761947";"7242.692072858685"
